Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105, C107, C111, C113",CP_EIA-3216-18_Kemet-A,5,10uF_P,
"C102, C103, C104, C106, C110, C112, C114",0805,7,100nF,
"C108, C109",0603,2,15p,
"D101, D103",D_SOD-123,2,1N5819HW-7-F,
"D102, D104, D105",0603,3,LED,
IC101,QFP80P900X900X120-32N,1,ATMEGA328P-AU,
J101,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J102, J103",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
"JP101, JP102",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,Jumper_2_Bridged,
"R101, R102, R103, R104, R105, R106",0603,6,1kR,
SW101,SW_SPST_Omron_B3FS-100xP,1,SW_Omron_B3FS,
U101,SPX3819M5-L-TR,1,SPX3819M5-L-5-0/TR,
U102,SPX3819M5-L-TR,1,SPX3819M5-L-3-3/TR,
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16Mhz,
