Designator,Mid X,Mid Y,Rotation,Layer
C101,13.75,-18.25,45.0,bottom
C102,9.25,-21.75,225.0,bottom
C103,12.0,-24.5,45.0,bottom
C104,11.25,-19.75,225.0,bottom
C105,7.5,-28.75,0.0,bottom
C106,9.5,-32.0,90.0,bottom
C107,7.5,-35.25,0.0,bottom
C108,9.0,-14.8875,90.0,top
C109,6.0,-17.8875,0.0,top
C110,14.0,-22.5,45.0,bottom
C111,17.5,-28.75,0.0,bottom
C112,19.75,-32.05,90.0,bottom
C113,17.75,-35.25,0.0,bottom
C114,7.25,-7.5,0.0,top
D101,7.5,-35.25,0.0,top
D102,12.5,-32.25,0.0,top
D103,17.75,-35.25,0.0,top
D104,12.5,-34.75,0.0,top
D105,12.5,-29.75,0.0,top
IC101,12.5,-21.25,315.0,top
J101,12.5,-2.25,90.0,bottom
J102,2.34,-20.03,0.0,bottom
J103,22.66,-20.03,0.0,bottom
R101,12.5,-32.25,180.0,bottom
R102,17.5,-12.25,180.0,top
R103,12.5,-34.75,180.0,bottom
R104,12.5,-29.75,180.0,bottom
R105,11.25,-6.0,270.0,bottom
R106,8.75,-6.0,270.0,bottom
SW101,12.5,-7.5,0.0,top
U101,6.5,-32.0,270.0,bottom
U102,16.75,-31.97365,270.0,bottom
Y101,6.25,-14.8875,90.0,top
